emergency_type,emergency_severity,population_affected,emergency_duration,resource_type,daily_consumption,days_since_emergency,previous_demand,current_inventory,future_requirement
DROUGHT,HIGH,8371,24,FIRST_AID_KITS,51.85,14,765.3,474,513.7
DROUGHT,HIGH,2544,9,HYGIENE_KITS,35.25,3,106.9,131,193.6
FLOOD,CRITICAL,19784,32,CLOTHING,403.4,5,2339.8,5523,11780.7
CYCLONE,MEDIUM,13439,10,WATER,43174.72,8,255293.6,54367,100099.2
FLOOD,HIGH,12145,15,CLOTHING,199.44,3,625.0,2340,2573.9
FLOOD,LOW,3737,10,HYGIENE_KITS,34.4,7,215.1,94,111.6
FLOOD,CRITICAL,3521,5,CLOTHING,69.95,3,242.6,175,162.4
EPIDEMIC,MEDIUM,6433,13,BABY_SUPPLIES,33.65,10,322.5,42,85.2
EARTHQUAKE,MEDIUM,7758,36,CLOTHING,92.99,2,238.1,2258,4139.4
EARTHQUAKE,HIGH,15671,40,HYGIENE_KITS,258.85,11,2179.8,4885,9321.8
CYCLONE,CRITICAL,13923,10,WATER,83817.15,4,295392.3,446647,660277.4
EARTHQUAKE,MEDIUM,11537,21,FOOD,8606.24,16,141800.6,48785,55555.1
FLOOD,MEDIUM,9840,14,HYGIENE_KITS,120.19,8,1074.5,852,779.2
EARTHQUAKE,HIGH,3163,38,FIRST_AID_KITS,16.26,23,400.3,344,341.6
FIRE,CRITICAL,7670,38,HYGIENE_KITS,119.22,2,248.8,2110,4893.5
EPIDEMIC,CRITICAL,18397,27,FIRST_AID_KITS,143.22,14,2321.5,1400,1708.1
FIRE,MEDIUM,6227,38,BLANKETS,170.08,25,5259.5,1848,1963.6
FLOOD,CRITICAL,5407,16,HYGIENE_KITS,85.25,12,1097.6,399,391.6
FLOOD,CRITICAL,18909,35,BLANKETS,726.29,3,2089.5,17793,28139.5
FLOOD,CRITICAL,17978,31,FIRST_AID_KITS,141.43,22,2994.7,739,1522.2
EARTHQUAKE,LOW,14599,12,BLANKETS,266.43,8,2021.0,1462,1347.1
FIRE,HIGH,8155,19,BLANKETS,225.93,5,1467.8,1599,3230.5
FLOOD,MEDIUM,13121,8,WATER,45612.65,6,249044.9,64927,109009.6
EARTHQUAKE,HIGH,3241,33,BABY_SUPPLIES,28.5,16,554.1,569,689.7
LANDSLIDE,CRITICAL,4116,15,CLOTHING,89.63,12,887.3,303,275.6
FLOOD,MEDIUM,12702,13,BLANKETS,270.65,2,469.9,3901,3934.9
FLOOD,HIGH,16517,21,BLANKETS,532.19,14,7333.4,2548,4456.7
FIRE,HIGH,766,43,HYGIENE_KITS,10.17,33,376.6,86,96.6
FLOOD,MEDIUM,16040,42,FOOD,14419.86,22,312360.8,214125,373901.4
FLOOD,HIGH,786,26,HYGIENE_KITS,9.97,14,145.2,140,140.5
EPIDEMIC,LOW,12024,17,WATER,36295.43,5,220495.8,198785,396609.4
EARTHQUAKE,MEDIUM,7548,40,FIRST_AID_KITS,44.42,16,626.9,893,1530.5
FIRE,MEDIUM,2578,17,BLANKETS,73.53,14,1225.1,141,225.6
EPIDEMIC,MEDIUM,5868,36,WATER,19784.55,23,432196.0,165582,229675.0
EARTHQUAKE,MEDIUM,1522,28,FOOD,1238.3,13,18196.8,14716,22992.0
EARTHQUAKE,MEDIUM,16155,31,BABY_SUPPLIES,107.82,9,955.2,2031,3012.4
LANDSLIDE,CRITICAL,11008,21,CLOTHING,196.38,2,359.2,2250,3860.8
LANDSLIDE,LOW,3884,39,BABY_SUPPLIES,19.59,20,331.5,376,385.8
FIRE,LOW,6812,19,FIRST_AID_KITS,30.6,6,150.6,214,448.1
FIRE,CRITICAL,14270,35,BLANKETS,582.17,15,9163.1,9332,10544.0
LANDSLIDE,LOW,2185,45,HYGIENE_KITS,27.02,3,81.3,700,1004.7
EPIDEMIC,MEDIUM,11190,24,MEDICINE,139.6,7,1259.0,1635,1837.6
EARTHQUAKE,HIGH,14740,26,CLOTHING,182.71,16,3494.2,1418,2130.6
FLOOD,CRITICAL,18144,25,MEDICINE,354.49,13,5595.9,2684,5345.3
LANDSLIDE,CRITICAL,393,25,FIRST_AID_KITS,2.43,12,25.2,20,36.3
EARTHQUAKE,HIGH,5282,43,HYGIENE_KITS,78.98,3,234.0,3311,4277.5
FLOOD,MEDIUM,6598,45,CLOTHING,67.53,17,923.8,1062,2185.2
FLOOD,CRITICAL,6929,26,FIRST_AID_KITS,46.66,2,96.1,856,1324.1
FLOOD,LOW,16049,33,MEDICINE,196.48,3,578.2,6734,6567.8
FLOOD,MEDIUM,19067,42,HYGIENE_KITS,238.07,1,211.8,8276,11873.8
LANDSLIDE,LOW,17803,26,FOOD,13073.49,13,180302.3,189613,198082.0
EPIDEMIC,CRITICAL,15763,25,BABY_SUPPLIES,142.03,11,1285.2,1510,1697.1
CYCLONE,MEDIUM,11878,25,BLANKETS,245.87,17,4418.5,2217,2089.1
FLOOD,MEDIUM,15906,36,HYGIENE_KITS,164.13,19,3784.9,3011,3224.5
FIRE,HIGH,17778,14,WATER,74861.46,2,183213.4,545878,944577.9
EARTHQUAKE,HIGH,5286,33,MEDICINE,80.34,0,75.9,3703,3906.2
EPIDEMIC,HIGH,19952,12,WATER,93204.13,3,225907.8,509854,832044.8
EARTHQUAKE,HIGH,5078,8,FOOD,4443.19,0,4414.8,28627,45246.3
EARTHQUAKE,MEDIUM,5487,20,BABY_SUPPLIES,35.87,8,344.0,449,598.0
FIRE,LOW,13617,13,CLOTHING,116.59,9,1126.8,406,458.1
LANDSLIDE,HIGH,19742,20,FOOD,15748.54,11,173562.3,145303,160613.2
FLOOD,MEDIUM,8905,27,BLANKETS,239.15,5,936.1,4766,6189.2
FIRE,HIGH,9486,9,BABY_SUPPLIES,73.68,4,235.4,177,360.5
FLOOD,HIGH,1608,18,WATER,7277.14,12,75428.4,53687,49966.4
LANDSLIDE,HIGH,7810,16,WATER,31298.21,6,244093.9,392673,370462.4
CYCLONE,MEDIUM,3445,8,FIRST_AID_KITS,17.32,0,15.0,165,177.2
CYCLONE,MEDIUM,15322,10,BLANKETS,449.21,5,2726.6,1469,3179.3
FLOOD,HIGH,14301,7,BLANKETS,367.07,2,752.0,1487,2212.4
LANDSLIDE,HIGH,16675,7,HYGIENE_KITS,225.98,3,874.9,438,992.8
FLOOD,MEDIUM,16346,42,MEDICINE,199.92,1,142.0,8454,9895.1
EARTHQUAKE,LOW,1595,37,MEDICINE,17.08,31,594.2,58,141.5
EARTHQUAKE,HIGH,5003,11,MEDICINE,81.59,4,402.5,548,752.4
FIRE,CRITICAL,17636,17,CLOTHING,360.58,4,1132.0,2112,4513.5
LANDSLIDE,HIGH,12704,41,BABY_SUPPLIES,111.08,11,1095.2,3698,3700.2
CYCLONE,MEDIUM,17544,22,FOOD,14006.61,11,130456.7,80214,193576.9
CYCLONE,HIGH,1743,21,MEDICINE,21.69,14,363.9,109,188.0
FLOOD,HIGH,11024,12,BLANKETS,362.49,4,1218.9,2855,3338.9
FIRE,CRITICAL,2267,23,HYGIENE_KITS,47.94,15,720.9,302,382.8
FIRE,MEDIUM,19809,17,BABY_SUPPLIES,146.24,0,136.6,1941,2393.4
LANDSLIDE,LOW,15167,41,HYGIENE_KITS,143.51,14,1617.3,1377,3254.8
CYCLONE,LOW,5764,35,HYGIENE_KITS,62.89,1,53.7,1953,2715.7
EARTHQUAKE,HIGH,14180,11,FOOD,11777.28,1,13683.4,126791,181212.5
CYCLONE,LOW,6675,36,WATER,19236.59,24,334496.0,222310,278118.2
DROUGHT,HIGH,13976,18,WATER,72004.39,9,625529.1,511832,637600.1
DROUGHT,MEDIUM,18603,21,FOOD,14877.24,9,146386.9,141194,147810.0
FLOOD,LOW,4394,42,BABY_SUPPLIES,19.8,20,494.1,237,471.5
FLOOD,HIGH,9850,7,HYGIENE_KITS,145.84,6,683.9,114,203.6
FIRE,CRITICAL,15331,9,WATER,78370.91,6,513506.4,119594,241345.8
DROUGHT,MEDIUM,6657,31,WATER,26592.76,1,19405.3,506088,855565.0
EPIDEMIC,MEDIUM,19887,12,HYGIENE_KITS,262.04,0,288.5,3063,2871.8
EARTHQUAKE,CRITICAL,1267,14,FIRST_AID_KITS,10.07,7,61.8,86,103.1
EPIDEMIC,LOW,7795,11,FOOD,4494.97,1,5311.2,18310,42968.0
FLOOD,MEDIUM,6879,8,BLANKETS,186.8,5,1150.4,393,686.5
FLOOD,CRITICAL,1483,19,BLANKETS,61.76,13,1019.5,474,433.2
FLOOD,MEDIUM,2610,32,CLOTHING,36.1,24,785.6,229,304.8
FLOOD,MEDIUM,10159,44,CLOTHING,126.4,17,1857.0,2735,3630.7
EPIDEMIC,MEDIUM,14980,6,FIRST_AID_KITS,67.06,3,252.2,96,178.3
EPIDEMIC,MEDIUM,7928,25,BABY_SUPPLIES,46.65,21,828.4,107,161.4
FLOOD,LOW,4443,38,MEDICINE,37.88,12,382.7,772,906.1
EPIDEMIC,HIGH,2505,21,HYGIENE_KITS,36.06,16,476.1,180,177.0
FLOOD,MEDIUM,10949,6,HYGIENE_KITS,164.09,0,117.1,787,1100.6
CYCLONE,MEDIUM,18784,15,MEDICINE,250.13,6,1250.4,1342,2618.7
DROUGHT,HIGH,9132,31,MEDICINE,120.66,17,1925.0,1435,1629.1
DROUGHT,HIGH,6879,11,BLANKETS,189.43,3,401.0,1431,1548.1
FIRE,HIGH,12018,17,FIRST_AID_KITS,87.03,4,386.7,1317,1227.0
CYCLONE,MEDIUM,16879,29,FIRST_AID_KITS,73.08,12,1006.7,1493,1621.8
FLOOD,LOW,321,19,WATER,1045.34,8,9598.5,12890,15010.4
EARTHQUAKE,MEDIUM,8491,37,HYGIENE_KITS,98.03,11,857.8,3748,3476.1
DROUGHT,MEDIUM,18093,20,FOOD,14917.73,3,43657.5,198167,255278.9
FLOOD,MEDIUM,16168,43,MEDICINE,177.13,28,4429.4,2286,2873.4
CYCLONE,HIGH,8601,45,HYGIENE_KITS,135.39,26,3680.3,2415,3090.6
CYCLONE,LOW,5423,7,BLANKETS,131.9,4,585.4,539,490.3
FIRE,MEDIUM,9725,36,WATER,39042.05,6,222163.1,670425,1201636.2
FLOOD,LOW,12307,19,BABY_SUPPLIES,72.69,1,54.7,1327,1608.2
FIRE,CRITICAL,3445,34,BLANKETS,126.51,3,415.7,3694,3983.6
DROUGHT,CRITICAL,990,28,BLANKETS,37.77,23,1051.4,130,197.6
EPIDEMIC,HIGH,10125,45,CLOTHING,130.26,14,1975.0,2446,3885.0
DROUGHT,MEDIUM,17956,16,BLANKETS,476.41,4,1603.4,3885,4730.9
FIRE,MEDIUM,10128,35,BABY_SUPPLIES,73.08,19,1002.3,899,1176.0
FIRE,HIGH,5587,11,FOOD,5381.22,9,33928.6,6870,9314.6
FIRE,HIGH,9862,27,FIRST_AID_KITS,68.99,1,54.5,1233,1873.3
EARTHQUAKE,LOW,5627,15,FIRST_AID_KITS,21.88,8,142.9,134,177.3
CYCLONE,MEDIUM,19765,39,FIRST_AID_KITS,88.42,2,146.9,4109,4124.6
EPIDEMIC,CRITICAL,1318,10,BABY_SUPPLIES,11.96,7,96.3,16,30.4
LANDSLIDE,CRITICAL,6394,37,FIRST_AID_KITS,40.19,23,803.0,520,575.9
FIRE,CRITICAL,9328,14,HYGIENE_KITS,172.22,4,794.3,1613,1869.9
FLOOD,MEDIUM,5263,30,MEDICINE,70.19,2,155.1,1210,2337.4
FLOOD,CRITICAL,14955,32,CLOTHING,311.91,18,4703.7,6366,6399.7
FLOOD,CRITICAL,9457,45,FIRST_AID_KITS,70.57,7,600.6,2364,3759.7
CYCLONE,MEDIUM,6963,34,BABY_SUPPLIES,39.27,12,330.8,596,1166.5
CYCLONE,CRITICAL,484,14,FIRST_AID_KITS,4.11,9,41.7,19,26.1
CYCLONE,HIGH,801,28,WATER,3809.27,11,30310.8,85207,83582.0
FIRE,MEDIUM,14135,8,BABY_SUPPLIES,72.75,5,335.5,133,253.2
FIRE,HIGH,557,28,HYGIENE_KITS,9.64,14,133.9,154,144.0
CYCLONE,CRITICAL,18976,13,FOOD,24187.06,7,198152.3,99312,204481.4
EARTHQUAKE,HIGH,18017,41,BABY_SUPPLIES,147.51,21,3810.6,2336,3449.6
EARTHQUAKE,HIGH,621,6,FIRST_AID_KITS,4.05,4,19.7,10,10.8
EARTHQUAKE,MEDIUM,6505,13,BLANKETS,158.09,9,1469.3,871,875.4
FLOOD,LOW,3531,8,WATER,10509.8,5,55114.0,34325,37917.4
FLOOD,MEDIUM,6092,42,MEDICINE,71.54,33,1823.4,335,801.6
FLOOD,MEDIUM,4225,15,HYGIENE_KITS,60.93,10,442.9,267,348.3
EARTHQUAKE,LOW,17034,30,BABY_SUPPLIES,73.38,18,1336.1,998,1153.2
FLOOD,HIGH,9844,31,WATER,45369.83,8,288642.5,1241541,1334516.2
CYCLONE,HIGH,5129,7,MEDICINE,89.31,6,530.5,58,93.1
CYCLONE,MEDIUM,19608,44,BLANKETS,469.04,24,8732.5,5030,11985.3
EARTHQUAKE,HIGH,1090,32,MEDICINE,15.19,18,221.0,145,261.0
EARTHQUAKE,CRITICAL,2093,6,WATER,11038.24,3,41085.7,34891,49435.6
LANDSLIDE,CRITICAL,13127,14,BLANKETS,537.56,1,466.2,6634,6959.5
FLOOD,HIGH,8154,20,FIRST_AID_KITS,58.89,14,1066.9,277,425.4
EARTHQUAKE,HIGH,1499,18,HYGIENE_KITS,18.49,5,70.9,326,298.1
EARTHQUAKE,HIGH,6951,26,HYGIENE_KITS,98.76,18,1774.2,468,1108.5
EPIDEMIC,CRITICAL,14463,31,WATER,66722.93,2,162912.1,654021,1628182.6
EPIDEMIC,MEDIUM,14404,30,FOOD,8993.64,15,170568.9,83479,121370.4
DROUGHT,HIGH,4059,41,BABY_SUPPLIES,34.02,25,738.5,424,522.3
LANDSLIDE,CRITICAL,5259,27,CLOTHING,100.62,1,87.7,1937,3009.1
LANDSLIDE,MEDIUM,1087,13,HYGIENE_KITS,13.34,3,36.0,110,153.7
EARTHQUAKE,CRITICAL,16087,18,FOOD,18053.58,3,43351.0,207030,391360.9
EPIDEMIC,HIGH,11672,5,BABY_SUPPLIES,101.98,3,243.7,69,161.1
FLOOD,MEDIUM,316,5,HYGIENE_KITS,4.64,3,16.2,6,10.0
FLOOD,MEDIUM,7628,17,HYGIENE_KITS,107.72,4,339.1,1502,1741.3
EPIDEMIC,HIGH,6825,28,CLOTHING,101.14,10,1175.6,1307,1948.5
EARTHQUAKE,MEDIUM,4650,40,BABY_SUPPLIES,29.54,24,498.1,343,634.6
CYCLONE,LOW,18594,27,WATER,68662.86,22,1159009.2,273558,390383.8
FIRE,HIGH,2462,32,MEDICINE,35.99,15,385.4,245,567.6
DROUGHT,CRITICAL,3824,18,BLANKETS,142.21,7,885.8,1381,1519.5
DROUGHT,MEDIUM,13750,32,HYGIENE_KITS,168.69,8,1206.3,2709,3646.9
DROUGHT,MEDIUM,16013,27,HYGIENE_KITS,184.96,4,648.1,3414,3732.9
DROUGHT,CRITICAL,18917,40,WATER,104873.45,0,99449.4,2046140,3873604.1
EARTHQUAKE,LOW,11270,17,BLANKETS,242.76,4,794.5,1800,4069.3
DROUGHT,LOW,2784,27,BABY_SUPPLIES,15.29,7,94.5,210,350.0
EARTHQUAKE,HIGH,17783,43,HYGIENE_KITS,267.84,15,4170.1,9961,10077.4
CYCLONE,LOW,15689,44,BLANKETS,343.38,17,5062.1,7310,11349.9
CYCLONE,MEDIUM,2192,16,MEDICINE,25.84,13,318.1,75,117.2
FLOOD,CRITICAL,16007,42,WATER,83889.8,1,66651.3,4838316,4488281.9
FLOOD,LOW,18604,40,BLANKETS,374.72,5,2240.7,10057,13524.7
EARTHQUAKE,LOW,3923,30,HYGIENE_KITS,42.35,4,181.4,554,1383.8
